"Programlama – II",
9060567,32
10060599,17
9060285,9
9060261,14
9060248,24
9060293,11
9060289,7
9060265,4
9060284,7
9060291,87
10060555,55
9060278,32
9060257,57
9060252,10
9060286,46
8060328,30
8060324,34
8060330,39
8060322,45
8060318,55
8060311,38
8060309,39
8060329,13
9060281,0
9060245,57
9060263,7
9060250,22
9060295,32
9060258,31
9060254,19
9060274,16
9060270,5
8060033,55
8060321,7
"----",
10060557,3
9060290,17
9060267,35
9060253,7
9060259,29
10060579,0
8060437,5
10060556,28
9060280,11
8060442,11
8060313,15
9060268,0
9060294,10
9060264,8
9060249,6
10060554,34
8060325,6
10060594,17
9060468,18
9060460,40
10060639,7
9060292,14
9060272,21
9060251,33
9060527,5
9060247,23
9060256,15
9060549,7
9060244,32
9060279,27
9060277,32
9060271,5
9060266,64
8060319,0
8060306,0
